ablation_id,case_id,center,modality_group,t2_present,metric_name,class_id,srr_dice,nnunet_dice,dice_delta,srr_hd95,nnunet_hd95,hd95_delta,srr_component_count,nnunet_component_count,component_count_delta,srr_remote_fp_count,nnunet_remote_fp_count,remote_fp_delta,nnunet_source_path
m3_trained,Case1029,CenterA,LGE-only,False,myops_edema,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1029.nii.gz
m3_trained,Case1029,CenterA,LGE-only,False,myops_scar,5,0.06312375249500998,0.16436865021770683,-0.10124489772269685,107.49934362288118,51.395270620488255,56.10407300239293,98.0,12.0,86.0,73.0,4.0,69.0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1029.nii.gz
m3_trained,Case1045,CenterA,LGE-only,False,myops_edema,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1045.nii.gz
m3_trained,Case1045,CenterA,LGE-only,False,myops_scar,5,0.18039849219170706,0.09968847352024922,0.08071001867145784,43.29079225208058,58.23937490442107,-14.948582652340491,32.0,7.0,25.0,2.0,2.0,0.0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case1045.nii.gz
m3_trained,Case2002,CenterB,C0+LGE+T2,True,myops_edema,4,0.18823394626797274,0.5376005596362364,-0.3493666133682637,145.43282988311992,17.453201935819685,127.97962794730023,124.0,5.0,119.0,112.0,0.0,112.0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case2002.nii.gz
m3_trained,Case2002,CenterB,C0+LGE+T2,True,myops_scar,5,0.4022571543732366,0.5602700096432015,-0.1580128552699649,69.78981454536876,21.415372143918024,48.374442401450736,19.0,5.0,14.0,14.0,0.0,14.0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case2002.nii.gz
m3_trained,Case2008,CenterB,C0+LGE+T2,True,myops_edema,4,0.3019434231259848,0.3485546711353163,-0.046611248009331474,121.2927342260311,33.237885822186755,88.05484840384435,108.0,5.0,103.0,87.0,0.0,87.0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case2008.nii.gz
m3_trained,Case2008,CenterB,C0+LGE+T2,True,myops_scar,5,0.5797680927628949,0.7531584062196307,-0.17339031345673583,101.48661768565363,6.640625,94.84599268565363,20.0,1.0,19.0,14.0,0.0,14.0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case2008.nii.gz
m3_trained,Case2031,CenterB,C0+LGE+T2,True,myops_edema,4,0.01989247311827957,0.29880478087649404,-0.27891230775821446,186.270772222423,25.052956799932126,161.21781542249087,107.0,16.0,91.0,80.0,0.0,80.0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case2031.nii.gz
m3_trained,Case2031,CenterB,C0+LGE+T2,True,myops_scar,5,0.6831022085259374,0.8013937282229965,-0.11829151969705909,155.27085692139298,5.008673145796307,150.26218377559667,13.0,2.0,11.0,6.0,0.0,6.0,/users/a/e/aereinh/CARE/data/nnUNet/nnUNet_results/Dataset501_CAREMyoPS/nnUNetTrainer_500epochs__nnUNetPlans__3d_fullres/fold_0/validation/Case2031.nii.gz
