variant,case_id,center,modality_group,t2_present,class_id,metric_name,dice,hd,hd95,component_count,small_fp_count,remote_fp_count,pred_gt_volume_ratio,pred_empty,gt_empty,invalid_label_values
srr_v2_capacity12_proposal,Case1002,CenterA,LGE-only,False,4,myops_edema,1.0,0.0,0.0,0,0,0,,True,True,
srr_v2_capacity12_proposal,Case1002,CenterA,LGE-only,False,5,myops_scar,0.5886575735821967,137.87381994780537,10.093029073891422,6,4,3,1.0266731328806984,False,False,
srr_v2_capacity12_proposal,Case1007,CenterA,LGE-only,False,4,myops_edema,1.0,0.0,0.0,0,0,0,,True,True,
srr_v2_capacity12_proposal,Case1007,CenterA,LGE-only,False,5,myops_scar,0.4014466546112116,138.96133570026544,32.16173409450882,10,8,2,2.526504583499402,False,False,
srr_v2_capacity12_proposal,Case1009,CenterA,LGE-only,False,4,myops_edema,1.0,0.0,0.0,0,0,0,,True,True,
srr_v2_capacity12_proposal,Case1009,CenterA,LGE-only,False,5,myops_scar,0.4703684483653347,145.62668582991074,24.707151677586847,16,11,5,1.3557457212713937,False,False,
srr_v2_capacity12_proposal,Case1010,CenterA,LGE-only,False,4,myops_edema,1.0,0.0,0.0,0,0,0,,True,True,
srr_v2_capacity12_proposal,Case1010,CenterA,LGE-only,False,5,myops_scar,0.2392920353982301,156.53891773536765,94.80161144287848,27,15,10,1.8081510934393639,False,False,
srr_v2_capacity12_proposal,Case1021,CenterA,LGE-only,False,4,myops_edema,1.0,0.0,0.0,0,0,0,,True,True,
srr_v2_capacity12_proposal,Case1021,CenterA,LGE-only,False,5,myops_scar,0.36001829826166515,170.71941295063942,141.38848945972373,21,12,7,1.4756511891279729,False,False,
srr_v2_capacity12_proposal,Case1023,CenterA,LGE-only,False,4,myops_edema,0.0,,,1,1,1,inf,False,True,
srr_v2_capacity12_proposal,Case1023,CenterA,LGE-only,False,5,myops_scar,0.22684618523051817,182.83151250573206,130.05146011995052,39,25,19,1.0596638655462185,False,False,
srr_v2_capacity12_proposal,Case1029,CenterA,LGE-only,False,4,myops_edema,1.0,0.0,0.0,0,0,0,,True,True,
srr_v2_capacity12_proposal,Case1029,CenterA,LGE-only,False,5,myops_scar,0.1057356608478803,136.765680706648,96.33366640106031,26,14,20,9.282051282051283,False,False,
srr_v2_capacity12_proposal,Case1033,CenterA,LGE-only,False,4,myops_edema,1.0,0.0,0.0,0,0,0,,True,True,
srr_v2_capacity12_proposal,Case1033,CenterA,LGE-only,False,5,myops_scar,0.2642347343378271,168.38874506435826,45.53945404887869,18,12,2,0.5449644694927713,False,False,
srr_v2_capacity12_proposal,Case1040,CenterA,LGE-only,False,4,myops_edema,1.0,0.0,0.0,0,0,0,,True,True,
srr_v2_capacity12_proposal,Case1040,CenterA,LGE-only,False,5,myops_scar,0.23642276422764227,152.75894971347273,77.29804383612874,22,15,7,1.8419593345656193,False,False,
srr_v2_capacity12_proposal,Case1042,CenterA,LGE-only,False,4,myops_edema,1.0,0.0,0.0,0,0,0,,True,True,
srr_v2_capacity12_proposal,Case1042,CenterA,LGE-only,False,5,myops_scar,0.4826904055390702,39.28524408431146,17.85833986281867,9,6,0,1.2317880794701987,False,False,
srr_v2_capacity12_proposal,Case1045,CenterA,LGE-only,False,4,myops_edema,1.0,0.0,0.0,0,0,0,,True,True,
srr_v2_capacity12_proposal,Case1045,CenterA,LGE-only,False,5,myops_scar,0.12160566706021252,65.31211261610844,55.311870169848234,25,18,2,1.2768817204301075,False,False,
srr_v2_capacity12_proposal,Case1047,CenterA,LGE-only,False,4,myops_edema,1.0,0.0,0.0,0,0,0,,True,True,
srr_v2_capacity12_proposal,Case1047,CenterA,LGE-only,False,5,myops_scar,0.444230537841415,167.12820160740316,100.82310163435834,24,19,9,1.4794152744630071,False,False,
srr_v2_capacity12_proposal,Case1053,CenterA,LGE-only,False,4,myops_edema,0.0,,,5,5,5,inf,False,True,
srr_v2_capacity12_proposal,Case1053,CenterA,LGE-only,False,5,myops_scar,0.1056437035549307,134.68552782778855,52.86651425080555,27,18,5,3.737392959086584,False,False,
srr_v2_capacity12_proposal,Case1062,CenterA,LGE-only,False,4,myops_edema,0.0,,,1,1,1,inf,False,True,
srr_v2_capacity12_proposal,Case1062,CenterA,LGE-only,False,5,myops_scar,0.26005393363817564,156.58258394687442,46.96156536599266,50,37,17,2.609394837071519,False,False,
srr_v2_capacity12_proposal,Case1070,CenterA,LGE-only,False,4,myops_edema,1.0,0.0,0.0,0,0,0,,True,True,
srr_v2_capacity12_proposal,Case1070,CenterA,LGE-only,False,5,myops_scar,0.28600125549278094,93.9002129923037,27.57489800525108,23,18,2,2.1771041084962106,False,False,
srr_v2_capacity12_proposal,Case1073,CenterA,LGE-only,False,4,myops_edema,1.0,0.0,0.0,0,0,0,,True,True,
srr_v2_capacity12_proposal,Case1073,CenterA,LGE-only,False,5,myops_scar,0.29578351164254246,184.1409896310856,17.380065063210587,11,8,6,1.1678035470668486,False,False,
srr_v2_capacity12_proposal,Case1080,CenterA,LGE-only,False,4,myops_edema,1.0,0.0,0.0,0,0,0,,True,True,
srr_v2_capacity12_proposal,Case1080,CenterA,LGE-only,False,5,myops_scar,0.0,277.213103493104,273.36714429948626,3,3,3,0.0050578034682080926,False,False,
srr_v2_capacity12_proposal,Case2002,CenterB,C0+LGE+T2,True,4,myops_edema,0.42640654938164085,24.76759653035847,15.809265047057849,6,5,0,0.9035145888594165,False,False,
