case_id,center,class_id,complete_trimodal,component_count,dice,empty_prediction,gt_positive,gt_volume_mm3,hd95,modality_group,no_t2_edema_predicted_voxels,pathology,precision,pred_volume_mm3,prediction_positive,recall,remote_fp_volume_mm3,seed,source_prefix,variant,volume_ratio
Case1002,CenterA,4,0,0,,1,0,0.0,0.0,LGE-only,0,edema,,0.0,0,,0.0,20260723,smoke_student_moddrop_control_seed20260723_epoch25,student_moddrop_control,
Case1002,CenterA,5,0,3,0.5505754088431254,0,1,38543.643977929714,10.18520847959604,LGE-only,0,scar,0.7330645161290322,23178.524991577517,1,0.44083414161008727,0.0,20260723,smoke_student_moddrop_control_seed20260723_epoch25,student_moddrop_control,0.6013579049466538
