case_id,center,center_shift_mm,descriptor_scores,failure_reason,flow_magnitude_max_px,flow_magnitude_mean_px,flow_smoothness_mean,folding_voxels,frame_agreements,frame_index,frame_indices,frame_weights,image_mae_after,image_mae_before,image_mae_delta,image_ncc_after,image_ncc_before,image_ncc_delta,jacobian_min_proxy,reference_dominance,reference_weight,runtime_seconds,status,temporal_entropy,variant,warp_type
Case1001,center_alpha,,,,29.53487205505371,0.9144923346383231,0.18458243778773717,6420,,9,,,0.10882875323295593,0.1736699789762497,-0.06484122574329376,0.8289591073989868,0.6020699739456177,0.22688913345336914,-8.232993125915527,,,0.7029763639438897,ok,,cine_deformable_or_feature_warp,slice2d_dense_optical_flow_ilk
Case1002,center_alpha,,,,22.41811752319336,1.2954668879508973,0.24233473241329193,7732,,8,,,0.09706774353981018,0.1643742173910141,-0.06730647385120392,0.7546762228012085,0.4353209137916565,0.319355309009552,-6.30474328994751,,,0.42907008714973927,ok,,cine_deformable_or_feature_warp,slice2d_dense_optical_flow_ilk
Case1003,center_alpha,,,,56.569236755371094,1.472030303694985,0.23731339519674127,8977,,6,,,0.1435774266719818,0.21664509177207947,-0.07306766510009766,0.760531485080719,0.5203857421875,0.240145742893219,-8.907658576965332,,,0.46453167288564146,ok,,cine_deformable_or_feature_warp,slice2d_dense_optical_flow_ilk
Case1004,center_alpha,,,,18.85272789001465,1.046897570292155,0.2127822223636839,4308,,10,,,0.07629505544900894,0.11713001132011414,-0.040834955871105194,0.8767337203025818,0.7314381003379822,0.1452956199645996,-8.993292808532715,,,0.5299469300080091,ok,,cine_deformable_or_feature_warp,slice2d_dense_optical_flow_ilk
Case1005,center_alpha,,,,22.390104293823242,1.243503987789154,0.234330106865276,7449,,8,,,0.08640887588262558,0.17380662262439728,-0.0873977467417717,0.8849114775657654,0.6494725942611694,0.23543888330459595,-4.962334632873535,,,0.5268507630098611,ok,,cine_deformable_or_feature_warp,slice2d_dense_optical_flow_ilk
Case1006,center_alpha,,,,23.040298461914062,1.3373526288912847,0.25566475895734936,9290,,9,,,0.11989777535200119,0.2240600883960724,-0.1041623130440712,0.7801768183708191,0.3724267780780792,0.40775004029273987,-5.100010871887207,,,0.5542633840814233,ok,,cine_deformable_or_feature_warp,slice2d_dense_optical_flow_ilk
Case1007,center_alpha,,,,23.705322265625,1.4535401960213978,0.23759667202830315,9544,,10,,,0.10462073981761932,0.16227641701698303,-0.05765567719936371,0.8407547473907471,0.6515316367149353,0.18922311067581177,-5.661107063293457,,,0.5502353529445827,ok,,cine_deformable_or_feature_warp,slice2d_dense_optical_flow_ilk
Case1008,center_alpha,,,,25.19631004333496,0.8996626192873175,0.1820755343545567,7257,,15,,,0.1335826963186264,0.22916093468666077,-0.09557823836803436,0.7819609642028809,0.4513024687767029,0.330658495426178,-5.002767562866211,,,0.5178992052096874,ok,,cine_deformable_or_feature_warp,slice2d_dense_optical_flow_ilk
Case1010,center_alpha,,,,19.822872161865234,1.2386925866206486,0.24906418596704802,7871,,6,,,0.10254935175180435,0.17520324885845184,-0.07265389710664749,0.867632269859314,0.6364926695823669,0.23113960027694702,-5.270920753479004,,,0.611042768927291,ok,,cine_deformable_or_feature_warp,slice2d_dense_optical_flow_ilk
Case1011,center_alpha,,,,21.660669326782227,1.529020818797025,0.27438936043869366,7458,,8,,,0.11517465859651566,0.18100811541080475,-0.06583345681428909,0.8266305923461914,0.545676052570343,0.2809545397758484,-8.164651870727539,,,0.48019312415272,ok,,cine_deformable_or_feature_warp,slice2d_dense_optical_flow_ilk
