case_id,center,class_id,component_count,dice,empty_prediction,gt_voxels,hd95,metric_name,pred_voxels,variant,volume_ratio
Case1001,center_alpha,1,1,0.7772622657363095,False,12155,3.3050590910601287,class_1_myocardium,15218,cine_reference_control_recheck,1.2519950637597697
Case1001,center_alpha,2,1,0.9540017563516338,False,16304,2.3370296955108643,class_2_lv,16719,cine_reference_control_recheck,1.0254538763493621
Case1001,center_alpha,3,0,0.0,True,2237,,class_3_scar_sanity,0,cine_reference_control_recheck,0.0
Case1001,center_alpha,1,1,0.7457556359588088,False,12155,4.213140199723208,class_1_myocardium,16589,cine_deformable_or_feature_warp,1.3647881530234471
Case1001,center_alpha,2,1,0.9521169202953141,False,16304,2.3370296955108643,class_2_lv,16881,cine_deformable_or_feature_warp,1.0353900883218843
Case1001,center_alpha,3,0,0.0,True,2237,,class_3_scar_sanity,0,cine_deformable_or_feature_warp,0.0
Case1001,center_alpha,1,1,0.7772622657363095,False,12155,3.3050590910601287,class_1_myocardium,15218,cine_motion_descriptor_temporal_refiner,1.2519950637597697
Case1001,center_alpha,2,1,0.9540017563516338,False,16304,2.3370296955108643,class_2_lv,16719,cine_motion_descriptor_temporal_refiner,1.0254538763493621
Case1001,center_alpha,3,0,0.0,True,2237,,class_3_scar_sanity,0,cine_motion_descriptor_temporal_refiner,0.0
Case1002,center_alpha,1,2,0.6688159696153336,False,10136,4.817910142398186,class_1_myocardium,12507,cine_reference_control_recheck,1.2339187056037886
Case1002,center_alpha,2,1,0.9125399872040947,False,16382,6.0,class_2_lv,14878,cine_reference_control_recheck,0.9081919179587352
Case1002,center_alpha,3,0,0.0,True,2690,,class_3_scar_sanity,0,cine_reference_control_recheck,0.0
Case1002,center_alpha,1,2,0.6846733139803947,False,10136,3.5055445432662964,class_1_myocardium,13633,cine_deformable_or_feature_warp,1.3450078926598263
Case1002,center_alpha,2,1,0.9286157281071694,False,16382,3.5055445432662964,class_2_lv,15866,cine_deformable_or_feature_warp,0.9685020144060554
Case1002,center_alpha,3,0,0.0,True,2690,,class_3_scar_sanity,0,cine_deformable_or_feature_warp,0.0
Case1002,center_alpha,1,2,0.6688159696153336,False,10136,4.817910142398186,class_1_myocardium,12507,cine_motion_descriptor_temporal_refiner,1.2339187056037886
Case1002,center_alpha,2,1,0.9125399872040947,False,16382,6.0,class_2_lv,14878,cine_motion_descriptor_temporal_refiner,0.9081919179587352
Case1002,center_alpha,3,0,0.0,True,2690,,class_3_scar_sanity,0,cine_motion_descriptor_temporal_refiner,0.0
Case1003,center_alpha,1,1,0.7696173173560108,False,9858,4.957588636590193,class_1_myocardium,10838,cine_reference_control_recheck,1.0994116453641711
Case1003,center_alpha,2,1,0.8385110551357403,False,7259,6.0,class_2_lv,7033,cine_reference_control_recheck,0.9688662350185976
Case1003,center_alpha,3,0,0.0,True,502,,class_3_scar_sanity,0,cine_reference_control_recheck,0.0
Case1003,center_alpha,1,1,0.709288858003243,False,9858,6.0,class_1_myocardium,11727,cine_deformable_or_feature_warp,1.189592209373098
Case1003,center_alpha,2,1,0.8208773354995939,False,7259,6.0,class_2_lv,7513,cine_deformable_or_feature_warp,1.0349910455985674
Case1003,center_alpha,3,0,0.0,True,502,,class_3_scar_sanity,0,cine_deformable_or_feature_warp,0.0
Case1003,center_alpha,1,1,0.7696173173560108,False,9858,4.957588636590193,class_1_myocardium,10838,cine_motion_descriptor_temporal_refiner,1.0994116453641711
Case1003,center_alpha,2,1,0.8385110551357403,False,7259,6.0,class_2_lv,7033,cine_motion_descriptor_temporal_refiner,0.9688662350185976
Case1003,center_alpha,3,0,0.0,True,502,,class_3_scar_sanity,0,cine_motion_descriptor_temporal_refiner,0.0
Case1004,center_alpha,1,1,0.7013232514177694,False,6613,3.3050590910601287,class_1_myocardium,9257,cine_reference_control_recheck,1.399818539240889
Case1004,center_alpha,2,1,0.9233524042450976,False,12201,3.3050590910601287,class_2_lv,10696,cine_reference_control_recheck,0.876649454962708
Case1004,center_alpha,3,0,0.0,True,1378,,class_3_scar_sanity,0,cine_reference_control_recheck,0.0
Case1004,center_alpha,1,1,0.6712861247253676,False,6613,4.213140199723208,class_1_myocardium,11138,cine_deformable_or_feature_warp,1.6842582791471343
Case1004,center_alpha,2,1,0.9351166038853853,False,12201,2.474954163904914,class_2_lv,11426,cine_deformable_or_feature_warp,0.9364806163429227
Case1004,center_alpha,3,0,0.0,True,1378,,class_3_scar_sanity,0,cine_deformable_or_feature_warp,0.0
Case1004,center_alpha,1,1,0.7013232514177694,False,6613,3.3050590910601287,class_1_myocardium,9257,cine_motion_descriptor_temporal_refiner,1.399818539240889
Case1004,center_alpha,2,1,0.9233524042450976,False,12201,3.3050590910601287,class_2_lv,10696,cine_motion_descriptor_temporal_refiner,0.876649454962708
Case1004,center_alpha,3,0,0.0,True,1378,,class_3_scar_sanity,0,cine_motion_descriptor_temporal_refiner,0.0
Case1005,center_alpha,1,1,0.7709389993145991,False,9510,2.6128786322989637,class_1_myocardium,12375,cine_reference_control_recheck,1.3012618296529967
Case1005,center_alpha,2,1,0.9409117305458768,False,14201,2.3370296955108643,class_2_lv,13351,cine_reference_control_recheck,0.9401450602070277
Case1005,center_alpha,3,0,0.0,True,1526,,class_3_scar_sanity,0,cine_reference_control_recheck,0.0
Case1005,center_alpha,1,5,0.7197457699905523,False,9510,3.5055445432662964,class_1_myocardium,13776,cine_deformable_or_feature_warp,1.4485804416403785
Case1005,center_alpha,2,2,0.9443189837685251,False,14201,2.3370296955108643,class_2_lv,14139,cine_deformable_or_feature_warp,0.9956341102739243
Case1005,center_alpha,3,0,0.0,True,1526,,class_3_scar_sanity,0,cine_deformable_or_feature_warp,0.0
Case1005,center_alpha,1,1,0.7709389993145991,False,9510,2.6128786322989637,class_1_myocardium,12375,cine_motion_descriptor_temporal_refiner,1.3012618296529967
Case1005,center_alpha,2,1,0.9409117305458768,False,14201,2.3370296955108643,class_2_lv,13351,cine_motion_descriptor_temporal_refiner,0.9401450602070277
Case1005,center_alpha,3,0,0.0,True,1526,,class_3_scar_sanity,0,cine_motion_descriptor_temporal_refiner,0.0
Case1006,center_alpha,1,1,0.7108558299827685,False,10908,6.223411757135294,class_1_myocardium,15207,cine_reference_control_recheck,1.3941144114411441
Case1006,center_alpha,2,1,0.9102872062663185,False,19759,6.0,class_2_lv,18541,cine_reference_control_recheck,0.9383572043119591
Case1006,center_alpha,3,0,0.0,True,1796,,class_3_scar_sanity,0,cine_reference_control_recheck,0.0
Case1006,center_alpha,1,1,0.6988048682431197,False,10908,6.223411757135294,class_1_myocardium,16453,cine_deformable_or_feature_warp,1.5083425009167584
Case1006,center_alpha,2,1,0.9177774373116797,False,19759,6.0,class_2_lv,19403,cine_deformable_or_feature_warp,0.9819828938711473
Case1006,center_alpha,3,0,0.0,True,1796,,class_3_scar_sanity,0,cine_deformable_or_feature_warp,0.0
Case1006,center_alpha,1,1,0.7108558299827685,False,10908,6.223411757135294,class_1_myocardium,15207,cine_motion_descriptor_temporal_refiner,1.3941144114411441
Case1006,center_alpha,2,1,0.9102872062663185,False,19759,6.0,class_2_lv,18541,cine_motion_descriptor_temporal_refiner,0.9383572043119591
Case1006,center_alpha,3,0,0.0,True,1796,,class_3_scar_sanity,0,cine_motion_descriptor_temporal_refiner,0.0
Case1007,center_alpha,1,1,0.7502815315315315,False,12291,4.817910142398186,class_1_myocardium,16125,cine_reference_control_recheck,1.3119355626067855
Case1007,center_alpha,2,1,0.9101606165793964,False,18091,5.842574238777161,class_2_lv,15903,cine_reference_control_recheck,0.8790558841412858
Case1007,center_alpha,3,0,0.0,True,1666,,class_3_scar_sanity,0,cine_reference_control_recheck,0.0
Case1007,center_alpha,1,1,0.742341224714842,False,12291,5.225757264597927,class_1_myocardium,16728,cine_deformable_or_feature_warp,1.3609958506224067
Case1007,center_alpha,2,1,0.9123916608104943,False,18091,5.842574238777161,class_2_lv,16061,cine_deformable_or_feature_warp,0.8877895085954342
Case1007,center_alpha,3,0,0.0,True,1666,,class_3_scar_sanity,0,cine_deformable_or_feature_warp,0.0
Case1007,center_alpha,1,1,0.7502815315315315,False,12291,4.817910142398186,class_1_myocardium,16125,cine_motion_descriptor_temporal_refiner,1.3119355626067855
Case1007,center_alpha,2,1,0.9101606165793964,False,18091,5.842574238777161,class_2_lv,15903,cine_motion_descriptor_temporal_refiner,0.8790558841412858
Case1007,center_alpha,3,0,0.0,True,1666,,class_3_scar_sanity,0,cine_motion_descriptor_temporal_refiner,0.0
Case1008,center_alpha,1,1,0.6465730366629846,False,7602,5.842574238777161,class_1_myocardium,11409,cine_reference_control_recheck,1.500789265982636
Case1008,center_alpha,2,1,0.9277258878177913,False,10446,2.6128786322989637,class_2_lv,9575,cine_reference_control_recheck,0.9166188014551024
Case1008,center_alpha,3,0,0.0,True,3530,,class_3_scar_sanity,0,cine_reference_control_recheck,0.0
Case1008,center_alpha,1,1,0.6600171276006247,False,7602,4.957588636590193,class_1_myocardium,12249,cine_deformable_or_feature_warp,1.611286503551697
Case1008,center_alpha,2,1,0.9230250481695569,False,10446,2.6128786322989637,class_2_lv,10314,cine_deformable_or_feature_warp,0.987363584147042
Case1008,center_alpha,3,0,0.0,True,3530,,class_3_scar_sanity,0,cine_deformable_or_feature_warp,0.0
