variant,case_id,task,pos_similarity_mean,neg_similarity_mean,pos_minus_neg_mean,proposal_gate_mean,proposal_gate_p95,uncertainty_mean
repaired_uncertainty_hardneg,Case1002,edema,0.6504027247428894,0.976689875125885,-0.3262871205806732,0.0007241005077958107,0.002541976748034358,0.00042191159445792437
repaired_uncertainty_hardneg,Case1002,scar,0.6266987323760986,0.890600860118866,-0.2639021575450897,0.008620432578027248,0.012907172553241253,0.0014008390717208385
repaired_uncertainty_hardneg,Case1007,edema,0.6480700969696045,0.975130558013916,-0.32706043124198914,0.0008150576613843441,0.0029034167528152466,0.0004998414660803974
repaired_uncertainty_hardneg,Case1007,scar,0.6268012523651123,0.8577130436897278,-0.23091177642345428,0.01758452318608761,0.027174919843673706,0.0024213737342506647
repaired_uncertainty_hardneg,Case1009,edema,0.6479772329330444,0.9753101468086243,-0.32733288407325745,0.0008187572238966823,0.0029877943452447653,0.0005165799520909786
repaired_uncertainty_hardneg,Case1009,scar,0.62648606300354,0.852867841720581,-0.22638171911239624,0.021633049473166466,0.03855109214782715,0.002867564558982849
repaired_uncertainty_hardneg,Case1010,edema,0.651063859462738,0.9769904613494873,-0.3259265720844269,0.0007165423594415188,0.00230742827989161,0.0003594098670873791
repaired_uncertainty_hardneg,Case1010,scar,0.6268146634101868,0.8944461941719055,-0.26763153076171875,0.008753356523811817,0.009316178038716316,0.0012914129765704274
repaired_uncertainty_hardneg,Case1021,edema,0.650102436542511,0.9764854311943054,-0.32638293504714966,0.000731700100004673,0.0029154629446566105,0.00046566850505769253
repaired_uncertainty_hardneg,Case1021,scar,0.6252859234809875,0.8821654915809631,-0.2568795680999756,0.012632838450372219,0.018150029703974724,0.0018329803133383393
repaired_uncertainty_hardneg,Case1023,edema,0.6477571129798889,0.971340537071228,-0.3235834538936615,0.0024930904619395733,0.008581704460084438,0.0027227241080254316
repaired_uncertainty_hardneg,Case1023,scar,0.6208338141441345,0.8453416228294373,-0.22450797259807587,0.02700762264430523,0.08282334357500076,0.005076304543763399
repaired_uncertainty_hardneg,Case1029,edema,0.6499617695808411,0.9731954336166382,-0.3232336640357971,0.0017819931963458657,0.006378539372235537,0.001639008754864335
repaired_uncertainty_hardneg,Case1029,scar,0.6262246370315552,0.8306529521942139,-0.2044282853603363,0.034992050379514694,0.12998591363430023,0.005265393760055304
repaired_uncertainty_hardneg,Case1033,edema,0.6479614973068237,0.9766616821289062,-0.32870015501976013,0.0006219412316568196,0.002176942303776741,0.00031320605194196105
repaired_uncertainty_hardneg,Case1033,scar,0.6257538199424744,0.8736515045166016,-0.24789771437644958,0.014865468256175518,0.01582639105618,0.001665499061346054
repaired_uncertainty_hardneg,Case1040,edema,0.6503980755805969,0.9749419689178467,-0.32454392313957214,0.0009927275823429227,0.003460667561739683,0.0006715438212268054
repaired_uncertainty_hardneg,Case1040,scar,0.6284176111221313,0.8713378310203552,-0.2429201602935791,0.01341333333402872,0.023089487105607986,0.0019367752829566598
repaired_uncertainty_hardneg,Case1042,edema,0.6531310081481934,0.9755917191505432,-0.3224606513977051,0.0007616509683430195,0.0026626086328178644,0.00041678434354253113
repaired_uncertainty_hardneg,Case1042,scar,0.6284928917884827,0.887261688709259,-0.2587687373161316,0.010339776985347271,0.01508670300245285,0.0015467467019334435
