status,case_id,ed_reference_anchor_feature,selected_non_reference_frame_id,warped_image_probability_feature_source,registration_method,registration_quality,frame_quality_score,motion_saliency_score,temporal_representer_slot_usage,temporal_aggregation_output_summary,local_class_1_myocardium_proxy,class_3_sanity,hosted_metric_caveat,frame0_control_comparison,temporal_dictionary_attempted
TEMPORAL_DICTIONARY_EXECUTED,Case1001,frame_0_cine_prediction,9,ANTsPy_SyNOnly_warped_CineMA_segmentation_proxy,ANTsPy_SyNOnly,myocardium_dice 0.6624609618988132->0.690532618186354; lv_dice 0.767775651405859->0.790013729315702,0.740273173751028,0.0409342385828495,reference_frame;warped_nonreference_segmentation_proxy;quality_weighted_union,quality_weighted_union_proxy_without_hosted_metric,CineMA label-2 myocardium proxy used; class-1 myocardium unavailable in this proxy label space,0.790013729315702,no hosted metric claim,frame0_myo=0.6624609618988132; warped_myo=0.690532618186354; temporal_myo_proxy=0.8324528721570372,True
TEMPORAL_DICTIONARY_EXECUTED,Case1001,frame_0_cine_prediction,15,ANTsPy_SyNOnly_warped_CineMA_segmentation_proxy,ANTsPy_SyNOnly,myocardium_dice 0.7499194120301721->0.766939687267312; lv_dice 0.8538918881979088->0.8780035130746031,0.8224716001709576,0.06330634653568268,reference_frame;warped_nonreference_segmentation_proxy;quality_weighted_union,quality_weighted_union_proxy_without_hosted_metric,CineMA label-2 myocardium proxy used; class-1 myocardium unavailable in this proxy label space,0.8780035130746031,no hosted metric claim,frame0_myo=0.7499194120301721; warped_myo=0.766939687267312; temporal_myo_proxy=0.8768908678088049,True
TEMPORAL_DICTIONARY_EXECUTED,Case1002,frame_0_cine_prediction,8,ANTsPy_SyNOnly_warped_CineMA_segmentation_proxy,ANTsPy_SyNOnly,myocardium_dice 0.6104122461351925->0.6104122461351925; lv_dice 0.7641048787493332->0.7641048787493332,0.6872585624422629,0.025241320952773094,reference_frame;warped_nonreference_segmentation_proxy;quality_weighted_union,quality_weighted_union_proxy_without_hosted_metric,CineMA label-2 myocardium proxy used; class-1 myocardium unavailable in this proxy label space,0.7641048787493332,no hosted metric claim,frame0_myo=0.6104122461351925; warped_myo=0.6104122461351925; temporal_myo_proxy=0.7889575009081002,True
TEMPORAL_DICTIONARY_EXECUTED,Case1002,frame_0_cine_prediction,15,ANTsPy_SyNOnly_warped_CineMA_segmentation_proxy,ANTsPy_SyNOnly,myocardium_dice 0.7921645445641528->0.7921645445641528; lv_dice 0.8973375698477046->0.8973375698477046,0.8447510572059287,0.010910212993621826,reference_frame;warped_nonreference_segmentation_proxy;quality_weighted_union,quality_weighted_union_proxy_without_hosted_metric,CineMA label-2 myocardium proxy used; class-1 myocardium unavailable in this proxy label space,0.8973375698477046,no hosted metric claim,frame0_myo=0.7921645445641528; warped_myo=0.7921645445641528; temporal_myo_proxy=0.8715639983895173,True
TEMPORAL_DICTIONARY_EXECUTED,Case1003,frame_0_cine_prediction,6,ANTsPy_SyNOnly_warped_CineMA_segmentation_proxy,ANTsPy_SyNOnly,myocardium_dice 0.608413948256468->0.608413948256468; lv_dice 0.49448785186770844->0.49448785186770844,0.5514509000620882,0.010510560125112534,reference_frame;warped_nonreference_segmentation_proxy;quality_weighted_union,quality_weighted_union_proxy_without_hosted_metric,CineMA label-2 myocardium proxy used; class-1 myocardium unavailable in this proxy label space,0.49448785186770844,no hosted metric claim,frame0_myo=0.608413948256468; warped_myo=0.608413948256468; temporal_myo_proxy=0.8212965433133884,True
TEMPORAL_DICTIONARY_EXECUTED,Case1003,frame_0_cine_prediction,15,ANTsPy_SyNOnly_warped_CineMA_segmentation_proxy,ANTsPy_SyNOnly,myocardium_dice 0.770304512113803->0.770304512113803; lv_dice 0.7632490474541046->0.7632490474541046,0.7667767797839538,0.006647039670497179,reference_frame;warped_nonreference_segmentation_proxy;quality_weighted_union,quality_weighted_union_proxy_without_hosted_metric,CineMA label-2 myocardium proxy used; class-1 myocardium unavailable in this proxy label space,0.7632490474541046,no hosted metric claim,frame0_myo=0.770304512113803; warped_myo=0.770304512113803; temporal_myo_proxy=0.8720897043832824,True
TEMPORAL_DICTIONARY_EXECUTED,Case1004,frame_0_cine_prediction,10,ANTsPy_SyNOnly_warped_CineMA_segmentation_proxy,ANTsPy_SyNOnly,myocardium_dice 0.7213228035538006->0.7213228035538006; lv_dice 0.8151867998454831->0.8151867998454831,0.7682548016996419,0.06224369257688522,reference_frame;warped_nonreference_segmentation_proxy;quality_weighted_union,quality_weighted_union_proxy_without_hosted_metric,CineMA label-2 myocardium proxy used; class-1 myocardium unavailable in this proxy label space,0.8151867998454831,no hosted metric claim,frame0_myo=0.7213228035538006; warped_myo=0.7213228035538006; temporal_myo_proxy=0.8202022042080335,True
TEMPORAL_DICTIONARY_EXECUTED,Case1004,frame_0_cine_prediction,15,ANTsPy_SyNOnly_warped_CineMA_segmentation_proxy,ANTsPy_SyNOnly,myocardium_dice 0.774356896900952->0.774356896900952; lv_dice 0.8561840843720039->0.8561840843720039,0.8152704906364779,0.03996090590953827,reference_frame;warped_nonreference_segmentation_proxy;quality_weighted_union,quality_weighted_union_proxy_without_hosted_metric,CineMA label-2 myocardium proxy used; class-1 myocardium unavailable in this proxy label space,0.8561840843720039,no hosted metric claim,frame0_myo=0.774356896900952; warped_myo=0.774356896900952; temporal_myo_proxy=0.8534887025721188,True
TEMPORAL_DICTIONARY_EXECUTED,Case1005,frame_0_cine_prediction,8,ANTsPy_SyNOnly_warped_CineMA_segmentation_proxy,ANTsPy_SyNOnly,myocardium_dice 0.5731372475269869->0.5731372475269869; lv_dice 0.6689586447433981->0.6689586447433981,0.6210479461351925,0.048089802265167236,reference_frame;warped_nonreference_segmentation_proxy;quality_weighted_union,quality_weighted_union_proxy_without_hosted_metric,CineMA label-2 myocardium proxy used; class-1 myocardium unavailable in this proxy label space,0.6689586447433981,no hosted metric claim,frame0_myo=0.5731372475269869; warped_myo=0.5731372475269869; temporal_myo_proxy=0.7732505497348338,True
TEMPORAL_DICTIONARY_EXECUTED,Case1005,frame_0_cine_prediction,15,ANTsPy_SyNOnly_warped_CineMA_segmentation_proxy,ANTsPy_SyNOnly,myocardium_dice 0.6602484237550497->0.6602484237550497; lv_dice 0.7581042742198038->0.7581042742198038,0.7091763489874268,0.011414957232773304,reference_frame;warped_nonreference_segmentation_proxy;quality_weighted_union,quality_weighted_union_proxy_without_hosted_metric,CineMA label-2 myocardium proxy used; class-1 myocardium unavailable in this proxy label space,0.7581042742198038,no hosted metric claim,frame0_myo=0.6602484237550497; warped_myo=0.6602484237550497; temporal_myo_proxy=0.8076742154425106,True
TEMPORAL_DICTIONARY_EXECUTED,Case1006,frame_0_cine_prediction,9,ANTsPy_SyNOnly_warped_CineMA_segmentation_proxy,ANTsPy_SyNOnly,myocardium_dice 0.5357664233576642->0.5809276061163632; lv_dice 0.7230637128627855->0.7554901895243507,0.6682088978203569,0.04007410630583763,reference_frame;warped_nonreference_segmentation_proxy;quality_weighted_union,quality_weighted_union_proxy_without_hosted_metric,CineMA label-2 myocardium proxy used; class-1 myocardium unavailable in this proxy label space,0.7554901895243507,no hosted metric claim,frame0_myo=0.5357664233576642; warped_myo=0.5809276061163632; temporal_myo_proxy=0.7933425049229856,True
TEMPORAL_DICTIONARY_EXECUTED,Case1006,frame_0_cine_prediction,15,ANTsPy_SyNOnly_warped_CineMA_segmentation_proxy,ANTsPy_SyNOnly,myocardium_dice 0.6247833895207788->0.6610411445611141; lv_dice 0.7838945539198007->0.8191874880793439,0.7401143163202291,0.017941564321517944,reference_frame;warped_nonreference_segmentation_proxy;quality_weighted_union,quality_weighted_union_proxy_without_hosted_metric,CineMA label-2 myocardium proxy used; class-1 myocardium unavailable in this proxy label space,0.8191874880793439,no hosted metric claim,frame0_myo=0.6247833895207788; warped_myo=0.6610411445611141; temporal_myo_proxy=0.8269690400755934,True
TEMPORAL_DICTIONARY_EXECUTED,Case1007,frame_0_cine_prediction,10,ANTsPy_SyNOnly_warped_CineMA_segmentation_proxy,ANTsPy_SyNOnly,myocardium_dice 0.5146070741453308->0.524628059984589; lv_dice 0.6006069402295817->0.6165348170042597,0.5705814384944243,0.022860607132315636,reference_frame;warped_nonreference_segmentation_proxy;quality_weighted_union,quality_weighted_union_proxy_without_hosted_metric,CineMA label-2 myocardium proxy used; class-1 myocardium unavailable in this proxy label space,0.6165348170042597,no hosted metric claim,frame0_myo=0.5146070741453308; warped_myo=0.524628059984589; temporal_myo_proxy=0.7502635939147462,True
TEMPORAL_DICTIONARY_EXECUTED,Case1007,frame_0_cine_prediction,15,ANTsPy_SyNOnly_warped_CineMA_segmentation_proxy,ANTsPy_SyNOnly,myocardium_dice 0.5845141237773105->0.630379439932113; lv_dice 0.7038123167155426->0.7414487716249308,0.6859141057785219,0.018045272678136826,reference_frame;warped_nonreference_segmentation_proxy;quality_weighted_union,quality_weighted_union_proxy_without_hosted_metric,CineMA label-2 myocardium proxy used; class-1 myocardium unavailable in this proxy label space,0.7414487716249308,no hosted metric claim,frame0_myo=0.5845141237773105; warped_myo=0.630379439932113; temporal_myo_proxy=0.8026388999284636,True
TEMPORAL_DICTIONARY_EXECUTED,Case1008,frame_0_cine_prediction,15,ANTsPy_SyNOnly_warped_CineMA_segmentation_proxy,ANTsPy_SyNOnly,myocardium_dice 0.655098645115284->0.655098645115284; lv_dice 0.6212055819306574->0.6212055819306574,0.6381521135229707,0.025709712877869606,reference_frame;warped_nonreference_segmentation_proxy;quality_weighted_union,quality_weighted_union_proxy_without_hosted_metric,CineMA label-2 myocardium proxy used; class-1 myocardium unavailable in this proxy label space,0.6212055819306574,no hosted metric claim,frame0_myo=0.655098645115284; warped_myo=0.655098645115284; temporal_myo_proxy=0.8006783014201936,True
TEMPORAL_DICTIONARY_EXECUTED,Case1008,frame_0_cine_prediction,28,ANTsPy_SyNOnly_warped_CineMA_segmentation_proxy,ANTsPy_SyNOnly,myocardium_dice 0.937641132534306->0.937641132534306; lv_dice 0.9610753581067054->0.9610753581067054,0.9493582453205057,0.009516012854874134,reference_frame;warped_nonreference_segmentation_proxy;quality_weighted_union,quality_weighted_union_proxy_without_hosted_metric,CineMA label-2 myocardium proxy used; class-1 myocardium unavailable in this proxy label space,0.9610753581067054,no hosted metric claim,frame0_myo=0.937641132534306; warped_myo=0.937641132534306; temporal_myo_proxy=0.9456081372295492,True
TEMPORAL_DICTIONARY_EXECUTED,Case1010,frame_0_cine_prediction,6,ANTsPy_SyNOnly_warped_CineMA_segmentation_proxy,ANTsPy_SyNOnly,myocardium_dice 0.5331640471082703->0.6016696223885116; lv_dice 0.7372392365734576->0.7822037844473606,0.6919367034179361,0.018258634954690933,reference_frame;warped_nonreference_segmentation_proxy;quality_weighted_union,quality_weighted_union_proxy_without_hosted_metric,CineMA label-2 myocardium proxy used; class-1 myocardium unavailable in this proxy label space,0.7822037844473606,no hosted metric claim,frame0_myo=0.5331640471082703; warped_myo=0.6016696223885116; temporal_myo_proxy=0.7933711555688265,True
TEMPORAL_DICTIONARY_EXECUTED,Case1010,frame_0_cine_prediction,15,ANTsPy_SyNOnly_warped_CineMA_segmentation_proxy,ANTsPy_SyNOnly,myocardium_dice 0.6523710977059575->0.6876876876876877; lv_dice 0.8257425742574257->0.8530950656041214,0.7703913766459045,0.012043967843055725,reference_frame;warped_nonreference_segmentation_proxy;quality_weighted_union,quality_weighted_union_proxy_without_hosted_metric,CineMA label-2 myocardium proxy used; class-1 myocardium unavailable in this proxy label space,0.8530950656041214,no hosted metric claim,frame0_myo=0.6523710977059575; warped_myo=0.6876876876876877; temporal_myo_proxy=0.8493765972276001,True
TEMPORAL_DICTIONARY_EXECUTED,Case1011,frame_0_cine_prediction,8,ANTsPy_SyNOnly_warped_CineMA_segmentation_proxy,ANTsPy_SyNOnly,myocardium_dice 0.5370194667102896->0.5370194667102896; lv_dice 0.6162604518768903->0.6162604518768903,0.5766399592935899,0.03925829380750656,reference_frame;warped_nonreference_segmentation_proxy;quality_weighted_union,quality_weighted_union_proxy_without_hosted_metric,CineMA label-2 myocardium proxy used; class-1 myocardium unavailable in this proxy label space,0.6162604518768903,no hosted metric claim,frame0_myo=0.5370194667102896; warped_myo=0.5370194667102896; temporal_myo_proxy=0.7606086643199645,True
TEMPORAL_DICTIONARY_EXECUTED,Case1011,frame_0_cine_prediction,15,ANTsPy_SyNOnly_warped_CineMA_segmentation_proxy,ANTsPy_SyNOnly,myocardium_dice 0.7190357155086806->0.7190357155086806; lv_dice 0.8253321256038647->0.8253321256038647,0.7721839205562726,0.027331916615366936,reference_frame;warped_nonreference_segmentation_proxy;quality_weighted_union,quality_weighted_union_proxy_without_hosted_metric,CineMA label-2 myocardium proxy used; class-1 myocardium unavailable in this proxy label space,0.8253321256038647,no hosted metric claim,frame0_myo=0.7190357155086806; warped_myo=0.7190357155086806; temporal_myo_proxy=0.842932261057841,True
TEMPORAL_DICTIONARY_EXECUTED,Case1012,frame_0_cine_prediction,6,ANTsPy_SyNOnly_warped_CineMA_segmentation_proxy,ANTsPy_SyNOnly,myocardium_dice 0.4751124041258926->0.4751124041258926; lv_dice 0.5537350735906693->0.5537350735906693,0.514423738858281,0.09263215214014053,reference_frame;warped_nonreference_segmentation_proxy;quality_weighted_union,quality_weighted_union_proxy_without_hosted_metric,CineMA label-2 myocardium proxy used; class-1 myocardium unavailable in this proxy label space,0.5537350735906693,no hosted metric claim,frame0_myo=0.4751124041258926; warped_myo=0.4751124041258926; temporal_myo_proxy=0.778836785699157,True
TEMPORAL_DICTIONARY_EXECUTED,Case1012,frame_0_cine_prediction,15,ANTsPy_SyNOnly_warped_CineMA_segmentation_proxy,ANTsPy_SyNOnly,myocardium_dice 0.6285036653730056->0.6285036653730056; lv_dice 0.7940412263987529->0.7940412263987529,0.7112724458858792,0.05223050341010094,reference_frame;warped_nonreference_segmentation_proxy;quality_weighted_union,quality_weighted_union_proxy_without_hosted_metric,CineMA label-2 myocardium proxy used; class-1 myocardium unavailable in this proxy label space,0.7940412263987529,no hosted metric claim,frame0_myo=0.6285036653730056; warped_myo=0.6285036653730056; temporal_myo_proxy=0.8457630194157141,True
TEMPORAL_DICTIONARY_EXECUTED,Case1013,frame_0_cine_prediction,9,ANTsPy_SyNOnly_warped_CineMA_segmentation_proxy,ANTsPy_SyNOnly,myocardium_dice 0.661160525201186->0.6887113790504898; lv_dice 0.7003532911863146->0.7286012526096033,0.7086563158300465,0.03478351607918739,reference_frame;warped_nonreference_segmentation_proxy;quality_weighted_union,quality_weighted_union_proxy_without_hosted_metric,CineMA label-2 myocardium proxy used; class-1 myocardium unavailable in this proxy label space,0.7286012526096033,no hosted metric claim,frame0_myo=0.661160525201186; warped_myo=0.6887113790504898; temporal_myo_proxy=0.8272180734909552,True
TEMPORAL_DICTIONARY_EXECUTED,Case1013,frame_0_cine_prediction,15,ANTsPy_SyNOnly_warped_CineMA_segmentation_proxy,ANTsPy_SyNOnly,myocardium_dice 0.72065880313303->0.7396186506578742; lv_dice 0.7792887029288703->0.8050181633859931,0.7723184070219337,0.019187113270163536,reference_frame;warped_nonreference_segmentation_proxy;quality_weighted_union,quality_weighted_union_proxy_without_hosted_metric,CineMA label-2 myocardium proxy used; class-1 myocardium unavailable in this proxy label space,0.8050181633859931,no hosted metric claim,frame0_myo=0.72065880313303; warped_myo=0.7396186506578742; temporal_myo_proxy=0.8526771809610103,True
