case_id,center,metric_name,best_case_model,nnunet_dice,mosaic_dice,case_oracle_dice,union_prediction_dice,voxel_tp_oracle_dice,unique_recovery_mosaic_over_nnunet_fraction,unique_recovery_nnunet_over_mosaic_fraction
Case1002,CenterA,scar,nnunet_oof,0.6167400881057269,0.1154562383612663,0.6167400881057269,0.3672967573382511,0.7338041142155358,0.07032007759456838,0.42919495635305527
Case1002,CenterA,lesion_union,nnunet_oof,0.6167400881057269,0.17831021437578815,0.6167400881057269,0.205465960851902,0.8946663093004557,0.3001939864209505,0.12366634335596509
Case1007,CenterA,scar,nnunet_oof,0.5810928013876843,0.24926450922706606,0.5810928013876843,0.39855965128399506,0.911968777103209,0.03706656038262256,0.4667198086887206
Case1007,CenterA,lesion_union,nnunet_oof,0.5810928013876843,0.0841116507445162,0.5810928013876843,0.11519576665733838,0.9486695998323905,0.10123555201275408,0.274212833798326
Case1009,CenterA,scar,nnunet_oof,0.6048804535370964,0.08628378993355784,0.6048804535370964,0.35977885279889427,0.7778275810548334,0.036430317848410755,0.5205378973105135
Case1009,CenterA,lesion_union,nnunet_oof,0.6048804535370964,0.14033049315775883,0.6048804535370964,0.18828310193024042,0.855623950755456,0.14767726161369193,0.21613691931540344
Case1010,CenterA,scar,nnunet_oof,0.48279378027020137,0.2520026702269693,0.48279378027020137,0.3609084652443221,0.7890460427324707,0.18091451292246521,0.27634194831013914
Case1010,CenterA,lesion_union,nnunet_oof,0.48279378027020137,0.13030652815185328,0.48279378027020137,0.15122114419538307,0.9465968586387434,0.4279324055666004,0.1411530815109344
Case1021,CenterA,scar,nnunet_oof,0.5699192044748291,0.3915743991358358,0.5699192044748291,0.527685859254357,0.8075624577987845,0.1579841449603624,0.2667044167610419
Case1021,CenterA,lesion_union,nnunet_oof,0.5699192044748291,0.20414414414414414,0.5699192044748291,0.24473956536736804,0.8910518053375196,0.2842582106455266,0.16194790486976218
Case1023,CenterA,scar,nnunet_oof,0.6466011466011466,0.06664127951256664,0.6466011466011466,0.42709984152139463,0.809106830122592,0.015966386554621848,0.6058823529411764
Case1023,CenterA,lesion_union,nnunet_oof,0.6466011466011466,0.06243793445878848,0.6466011466011466,0.11564104076936692,0.9032258064516129,0.16008403361344536,0.4008403361344538
Case1029,CenterA,scar,nnunet_oof,0.16436865021770683,0.0012158054711246201,0.16436865021770683,0.08281535648994516,0.8728323699421965,0.0,0.7675213675213676
Case1029,CenterA,lesion_union,nnunet_oof,0.16436865021770683,0.002017103355535478,0.16436865021770683,0.01887866240163275,0.9024390243902439,0.04786324786324787,0.7401709401709402
Case1033,CenterA,scar,nnunet_oof,0.671361030077457,0.09626672927917351,0.671361030077457,0.386600894803258,0.9045765669037713,0.008086253369272238,0.6750796373437883
Case1033,CenterA,lesion_union,nnunet_oof,0.671361030077457,0.1056726338847345,0.671361030077457,0.13918834394201404,0.9621057985757884,0.10928693947561872,0.24136241117373192
Case1040,CenterA,scar,nnunet_oof,0.4280078895463511,0.11125265392781317,0.4280078895463511,0.27265083035526594,0.749494365790234,0.09796672828096119,0.4177449168207024
Case1040,CenterA,lesion_union,nnunet_oof,0.4280078895463511,0.08434668373362078,0.4280078895463511,0.11515886180936583,0.9095490047871,0.33271719038817005,0.2555452865064695
Case1042,CenterA,scar,nnunet_oof,0.7573770491803279,0.06666666666666667,0.7573770491803279,0.383001906837374,0.8738346799254195,0.011037527593818985,0.6710816777041942
Case1042,CenterA,lesion_union,nnunet_oof,0.7573770491803279,0.04156845939575744,0.7573770491803279,0.14653975808050762,0.8984802431610942,0.05077262693156733,0.6015452538631346
Case1045,CenterA,scar,nnunet_oof,0.09968847352024922,0.06570996978851963,0.09968847352024922,0.11898569570871262,0.21903052064631956,0.05846774193548387,0.06451612903225806
Case1045,CenterA,lesion_union,mosaic_clean_oof,0.09968847352024922,0.09969824038876043,0.09969824038876043,0.09901374543760193,0.9229098805646037,0.7923387096774194,0.0020161290322580645
Case1047,CenterA,scar,nnunet_oof,0.6283120251991847,0.4432244614315497,0.6283120251991847,0.5546041201290642,0.7999641994092902,0.16079952267303102,0.1909307875894988
Case1047,CenterA,lesion_union,nnunet_oof,0.6283120251991847,0.23638550872160274,0.6283120251991847,0.25718897047123274,0.9152981150392363,0.3380071599045346,0.08174224343675418
Case1053,CenterA,scar,nnunet_oof,0.5196241017136539,0.11735941320293398,0.5196241017136539,0.40289330922242317,0.6927860696517413,0.08277830637488107,0.41579448144624165
Case1053,CenterA,lesion_union,nnunet_oof,0.5196241017136539,0.053154058808745915,0.5196241017136539,0.08145240431795878,0.7743440233236152,0.1845861084681256,0.22930542340627974
Case1062,CenterA,scar,nnunet_oof,0.5070823546159869,0.18349627401381008,0.5070823546159869,0.35293024983746635,0.8913910391742904,0.050359712230215826,0.5201015658061786
Case1062,CenterA,lesion_union,nnunet_oof,0.5070823546159869,0.0973629374146727,0.5070823546159869,0.10286879899431933,0.9570782301666115,0.1639864578925095,0.05755395683453238
