case_id,scar_changed_voxels,non_edema_changed_voxels,changed_voxels_total
Case1002,84,84,84
Case1007,204,204,204
Case1009,201,201,201
Case1010,169,169,169
Case1021,75,75,75
Case1023,138,138,138
Case1029,304,304,304
Case1033,300,300,300
Case1040,195,195,195
Case1042,25,25,25
Case1045,40,40,40
Case1047,249,249,249
Case1053,70,70,70
Case1062,484,484,484
Case1070,309,309,309
Case1073,95,95,95
Case1080,98,98,98
Case2002,28,15,119
Case2007,21,10,92
Case2008,20,16,60
Case2017,40,26,128
Case2020,6,3,32
Case2031,6,5,17
Case2033,20,5,64
Case3004,56,24,63
Case3011,50,34,120
Case3012,24,8,77
Case3023,41,32,73
Case3026,46,28,53
Case3034,81,54,171
Case3038,109,93,224
Case3040,25,2,55
Case3044,46,15,114
Case5005,84,84,84
Case6001,81,81,81
Case6010,64,64,64
Case7005,3,3,3
Case8003,58,58,58
Case8011,17,17,17
Case8015,48,48,48
Case8019,36,36,36
Case8021,0,0,0
Case8022,41,41,41
Case8023,86,86,86
