case_id,alignment_mode,t2_present,t2_offset_max_abs,c0_offset_max_abs,t2_confidence_mean,c0_confidence_mean
Case1002,enabled,False,2.156895637512207,2.600398302078247,0.0,0.0
Case1002,identity,False,0.0,0.0,0.0,0.0
Case1007,enabled,False,2.5429136753082275,2.9875755310058594,0.0,0.0
Case1007,identity,False,0.0,0.0,0.0,0.0
Case1009,enabled,False,2.570190191268921,2.887749195098877,0.0,0.0
Case1009,identity,False,0.0,0.0,0.0,0.0
Case1010,enabled,False,2.5187172889709473,2.8596553802490234,0.0,0.0
Case1010,identity,False,0.0,0.0,0.0,0.0
Case1021,enabled,False,2.099309206008911,2.411196231842041,0.0,0.0
Case1021,identity,False,0.0,0.0,0.0,0.0
Case1023,enabled,False,2.5562257766723633,2.403548240661621,0.0,0.0
Case1023,identity,False,0.0,0.0,0.0,0.0
Case1029,enabled,False,2.478804588317871,2.735991954803467,0.0,0.0
Case1029,identity,False,0.0,0.0,0.0,0.0
Case1033,enabled,False,2.6914355754852295,2.8018603324890137,0.0,0.0
Case1033,identity,False,0.0,0.0,0.0,0.0
Case1040,enabled,False,2.5274338722229004,2.8025898933410645,0.0,0.0
Case1040,identity,False,0.0,0.0,0.0,0.0
Case1042,enabled,False,1.9306617975234985,2.242941379547119,0.0,0.0
Case1042,identity,False,0.0,0.0,0.0,0.0
Case1045,enabled,False,2.2762560844421387,2.1932780742645264,0.0,0.0
Case1045,identity,False,0.0,0.0,0.0,0.0
Case1047,enabled,False,2.290440559387207,2.620485305786133,0.0,0.0
Case1047,identity,False,0.0,0.0,0.0,0.0
Case1053,enabled,False,1.8442517518997192,2.2505569458007812,0.0,0.0
Case1053,identity,False,0.0,0.0,0.0,0.0
Case1062,enabled,False,2.3124616146087646,2.5398178100585938,0.0,0.0
Case1062,identity,False,0.0,0.0,0.0,0.0
Case1070,enabled,False,2.0776150226593018,2.4831652641296387,0.0,0.0
Case1070,identity,False,0.0,0.0,0.0,0.0
Case1073,enabled,False,1.9099794626235962,2.7003135681152344,0.0,0.0
Case1073,identity,False,0.0,0.0,0.0,0.0
Case1080,enabled,False,2.3235628604888916,2.5530834197998047,0.0,0.0
Case1080,identity,False,0.0,0.0,0.0,0.0
Case2002,enabled,True,3.999370574951172,2.584059238433838,0.45203447341918945,0.5790409445762634
Case2002,identity,True,0.0,0.0,0.0,0.0
Case2007,enabled,True,3.9955735206604004,3.3083858489990234,0.463056743144989,0.5864410400390625
