pathology,case_id,case_t2_present,case_has_scar_label,case_has_edema_label,trainable_groups,required_group,parameter_group,parameter_name,requires_grad,grad_abs_sum,nonzero_gradient
scar,Case1002,False,True,False,"anchor_free_spatial_discovery_dictionary,scar_proposal_dictionary,edema_proposal_dictionary,scar_evidence_head,edema_evidence_head",True,scar_evidence_head,evidence_heads.scar.weight,True,0.09927080571651459,True
scar,Case1002,False,True,False,"anchor_free_spatial_discovery_dictionary,scar_proposal_dictionary,edema_proposal_dictionary,scar_evidence_head,edema_evidence_head",True,scar_evidence_head,evidence_heads.scar.bias,True,0.0104967150837183,True
scar,Case1002,False,True,False,"anchor_free_spatial_discovery_dictionary,scar_proposal_dictionary,edema_proposal_dictionary,scar_evidence_head,edema_evidence_head",False,edema_evidence_head,evidence_heads.edema.weight,True,0.0,False
scar,Case1002,False,True,False,"anchor_free_spatial_discovery_dictionary,scar_proposal_dictionary,edema_proposal_dictionary,scar_evidence_head,edema_evidence_head",False,edema_evidence_head,evidence_heads.edema.bias,True,0.0,False
scar,Case1002,False,True,False,"anchor_free_spatial_discovery_dictionary,scar_proposal_dictionary,edema_proposal_dictionary,scar_evidence_head,edema_evidence_head",True,scar_dictionary,scar_dictionary.embedding.weight,True,0.0,False
scar,Case1002,False,True,False,"anchor_free_spatial_discovery_dictionary,scar_proposal_dictionary,edema_proposal_dictionary,scar_evidence_head,edema_evidence_head",True,scar_dictionary,scar_dictionary.conv_score.weight,True,0.2638871669769287,True
scar,Case1002,False,True,False,"anchor_free_spatial_discovery_dictionary,scar_proposal_dictionary,edema_proposal_dictionary,scar_evidence_head,edema_evidence_head",True,scar_dictionary,scar_dictionary.conv_score.bias,True,0.009146084077656269,True
scar,Case1002,False,True,False,"anchor_free_spatial_discovery_dictionary,scar_proposal_dictionary,edema_proposal_dictionary,scar_evidence_head,edema_evidence_head",True,scar_dictionary,scar_dictionary.discovery_fusion.0.weight,True,33.4480094909668,True
scar,Case1002,False,True,False,"anchor_free_spatial_discovery_dictionary,scar_proposal_dictionary,edema_proposal_dictionary,scar_evidence_head,edema_evidence_head",True,scar_dictionary,scar_dictionary.discovery_fusion.1.weight,True,1.931604266166687,True
scar,Case1002,False,True,False,"anchor_free_spatial_discovery_dictionary,scar_proposal_dictionary,edema_proposal_dictionary,scar_evidence_head,edema_evidence_head",True,scar_dictionary,scar_dictionary.discovery_fusion.1.bias,True,1.7877998352050781,True
scar,Case1002,False,True,False,"anchor_free_spatial_discovery_dictionary,scar_proposal_dictionary,edema_proposal_dictionary,scar_evidence_head,edema_evidence_head",True,scar_dictionary,scar_dictionary.discovery_fusion.3.weight,True,14.01026439666748,True
scar,Case1002,False,True,False,"anchor_free_spatial_discovery_dictionary,scar_proposal_dictionary,edema_proposal_dictionary,scar_evidence_head,edema_evidence_head",True,scar_dictionary,scar_dictionary.discovery_fusion.3.bias,True,0.9961074590682983,True
scar,Case1002,False,True,False,"anchor_free_spatial_discovery_dictionary,scar_proposal_dictionary,edema_proposal_dictionary,scar_evidence_head,edema_evidence_head",True,scar_dictionary,scar_dictionary.confirmation_fusion.0.weight,True,0.04172492027282715,True
scar,Case1002,False,True,False,"anchor_free_spatial_discovery_dictionary,scar_proposal_dictionary,edema_proposal_dictionary,scar_evidence_head,edema_evidence_head",True,scar_dictionary,scar_dictionary.confirmation_fusion.1.weight,True,0.00641273520886898,True
scar,Case1002,False,True,False,"anchor_free_spatial_discovery_dictionary,scar_proposal_dictionary,edema_proposal_dictionary,scar_evidence_head,edema_evidence_head",True,scar_dictionary,scar_dictionary.confirmation_fusion.1.bias,True,0.00643914844840765,True
scar,Case1002,False,True,False,"anchor_free_spatial_discovery_dictionary,scar_proposal_dictionary,edema_proposal_dictionary,scar_evidence_head,edema_evidence_head",True,scar_dictionary,scar_dictionary.confirmation_fusion.3.weight,True,0.05559076741337776,True
scar,Case1002,False,True,False,"anchor_free_spatial_discovery_dictionary,scar_proposal_dictionary,edema_proposal_dictionary,scar_evidence_head,edema_evidence_head",True,scar_dictionary,scar_dictionary.confirmation_fusion.3.bias,True,0.004169923719018698,True
scar,Case1002,False,True,False,"anchor_free_spatial_discovery_dictionary,scar_proposal_dictionary,edema_proposal_dictionary,scar_evidence_head,edema_evidence_head",True,scar_dictionary,scar_dictionary.proposal_reliability.weight,True,0.12459707260131836,True
scar,Case1002,False,True,False,"anchor_free_spatial_discovery_dictionary,scar_proposal_dictionary,edema_proposal_dictionary,scar_evidence_head,edema_evidence_head",True,scar_dictionary,scar_dictionary.proposal_reliability.bias,True,0.005544145591557026,True
scar,Case1002,False,True,False,"anchor_free_spatial_discovery_dictionary,scar_proposal_dictionary,edema_proposal_dictionary,scar_evidence_head,edema_evidence_head",False,edema_dictionary,edema_dictionary.embedding.weight,True,0.0,False
scar,Case1002,False,True,False,"anchor_free_spatial_discovery_dictionary,scar_proposal_dictionary,edema_proposal_dictionary,scar_evidence_head,edema_evidence_head",False,edema_dictionary,edema_dictionary.conv_score.weight,True,0.0,False
scar,Case1002,False,True,False,"anchor_free_spatial_discovery_dictionary,scar_proposal_dictionary,edema_proposal_dictionary,scar_evidence_head,edema_evidence_head",False,edema_dictionary,edema_dictionary.conv_score.bias,True,0.0,False
scar,Case1002,False,True,False,"anchor_free_spatial_discovery_dictionary,scar_proposal_dictionary,edema_proposal_dictionary,scar_evidence_head,edema_evidence_head",False,edema_dictionary,edema_dictionary.discovery_fusion.0.weight,True,0.0,False
scar,Case1002,False,True,False,"anchor_free_spatial_discovery_dictionary,scar_proposal_dictionary,edema_proposal_dictionary,scar_evidence_head,edema_evidence_head",False,edema_dictionary,edema_dictionary.discovery_fusion.1.weight,True,0.0,False
scar,Case1002,False,True,False,"anchor_free_spatial_discovery_dictionary,scar_proposal_dictionary,edema_proposal_dictionary,scar_evidence_head,edema_evidence_head",False,edema_dictionary,edema_dictionary.discovery_fusion.1.bias,True,0.0,False
scar,Case1002,False,True,False,"anchor_free_spatial_discovery_dictionary,scar_proposal_dictionary,edema_proposal_dictionary,scar_evidence_head,edema_evidence_head",False,edema_dictionary,edema_dictionary.discovery_fusion.3.weight,True,0.0,False
