case_id,scar_changed_voxels,non_edema_changed_voxels,changed_voxels_total
Case1002,84,84,84
Case1007,205,205,205
Case1009,200,200,200
Case1010,169,169,169
Case1021,78,78,78
Case1023,138,138,138
Case1029,310,310,310
Case1033,300,300,300
Case1040,197,197,197
Case1042,27,27,27
Case1045,47,47,47
Case1047,250,250,250
Case1053,82,82,82
Case1062,484,484,484
Case1070,318,318,318
Case1073,95,95,95
Case1080,98,98,98
Case2002,36,18,127
Case2007,21,10,92
Case2008,20,16,60
Case2017,40,26,129
Case2020,6,3,33
Case2031,6,5,20
Case2033,20,5,64
Case3004,56,24,63
Case3011,50,34,121
Case3012,24,8,81
Case3023,41,32,84
Case3026,46,28,53
Case3034,81,54,202
Case3038,109,93,224
Case3040,25,2,65
Case3044,46,15,118
Case5005,84,84,84
Case6001,86,86,86
Case6010,78,78,78
Case7005,3,3,3
Case8003,58,58,58
Case8011,17,17,17
Case8015,48,48,48
Case8019,36,36,36
Case8021,0,0,0
Case8022,41,41,41
Case8023,86,86,86
