case_id,scar_changed_voxels,non_edema_changed_voxels,changed_voxels_total
Case1002,61,61,61
Case1007,152,152,152
Case1009,140,140,140
Case1010,139,139,139
Case1021,59,59,59
Case1023,108,108,108
Case1029,230,230,230
Case1033,206,206,206
Case1040,143,143,143
Case1042,26,26,26
Case1045,35,35,35
Case1047,167,167,167
Case1053,54,54,54
Case1062,349,349,349
Case1070,244,244,244
Case1073,64,64,64
Case1080,59,59,59
Case2002,23,12,107
Case2007,14,7,75
Case2008,7,4,51
Case2017,31,16,107
Case2020,1,1,20
Case2031,6,1,22
Case2033,17,3,43
Case3004,37,15,52
Case3011,53,32,77
Case3012,29,10,108
Case3023,30,18,83
Case3026,39,20,66
Case3034,55,37,167
Case3038,142,109,258
Case3040,24,2,107
Case3044,27,5,125
Case5005,78,78,78
Case6001,71,71,71
Case6010,50,50,50
Case7005,2,2,2
Case8003,50,50,50
Case8011,17,17,17
Case8015,40,40,40
Case8019,32,32,32
Case8021,0,0,0
Case8022,36,36,36
Case8023,71,71,71
