variant,case_id,center,modality_group,t2_present,class_id,metric_name,proposal_threshold,proposal_recall,proposal_precision,proposal_voxels,gt_voxels,proposal_component_count,proposal_small_fp_count,proposal_remote_fp_count,proposal_outside_union_fp_voxels,proposal_gate_mean,proposal_gate_p95,uncertainty_mean,local_anatomy_confidence_mean
srr_v2_light_refine_lowmix,Case1047,CenterA,LGE-only,False,5,myops_scar,0.5,0.08263723150357995,0.18271767810026385,3032,6704,29,13,3,1304,0.0019493625732138753,1.0575612918728439e-07,0.0002745707461144775,0.01671314425766468
srr_v2_light_refine_lowmix,Case1053,CenterA,LGE-only,False,4,myops_edema,0.5,,0.0,257,0,2,1,2,3,0.00043909443775191903,8.764133951899566e-08,3.5011144063901156e-05,0.02093431167304516
srr_v2_light_refine_lowmix,Case1053,CenterA,LGE-only,False,5,myops_scar,0.5,0.4719314938154139,0.14661543009163464,3383,1051,16,6,9,1772,0.005896593909710646,0.00012335064820945263,0.001040103379637003,0.02093431167304516
srr_v2_light_refine_lowmix,Case1062,CenterA,LGE-only,False,4,myops_edema,0.5,,0.0,477,0,8,4,8,477,0.0003666906268335879,3.3914575396920554e-06,7.322935562115163e-05,0.013030591420829296
srr_v2_light_refine_lowmix,Case1062,CenterA,LGE-only,False,5,myops_scar,0.5,0.06771053745239103,0.1277445109780439,2505,4726,26,12,8,1695,0.001923958188854158,6.425934770959429e-07,0.0003114371211268008,0.013030591420829296
srr_v2_light_refine_lowmix,Case1070,CenterA,LGE-only,False,4,myops_edema,0.5,,0.0,32,0,8,8,8,0,3.0279163183877245e-05,1.5094959735506563e-06,1.6894620785024017e-05,0.013008380308747292
srr_v2_light_refine_lowmix,Case1070,CenterA,LGE-only,False,5,myops_scar,0.5,0.2018348623853211,0.25895598771750256,1954,2507,12,5,2,291,0.0014975431840866804,2.4925546071585813e-08,0.00022388929210137576,0.013008380308747292
srr_v2_light_refine_lowmix,Case1073,CenterA,LGE-only,False,4,myops_edema,0.5,,0.0,351,0,10,6,10,351,0.0005616716807708144,1.1625976412688033e-06,0.00016805253108032048,0.02550116553902626
srr_v2_light_refine_lowmix,Case1073,CenterA,LGE-only,False,5,myops_scar,0.5,0.32378353797180537,0.1396078431372549,5100,2199,25,13,23,2762,0.008682318031787872,0.0014357345644384623,0.0019692385103553534,0.02550116553902626
srr_v2_light_refine_lowmix,Case1080,CenterA,LGE-only,False,4,myops_edema,0.5,,,0,0,0,0,0,0,1.4728081493102507e-13,7.633776016912133e-14,0.0,0.006256645545363426
srr_v2_light_refine_lowmix,Case1080,CenterA,LGE-only,False,5,myops_scar,0.5,0.0,,0,1384,0,0,0,0,1.3541960420051808e-15,5.1276884349910415e-15,0.0,0.006256645545363426
srr_v2_light_refine_lowmix,Case2002,CenterB,C0+LGE+T2,True,4,myops_edema,0.5,0.27851458885941643,0.5581395348837209,1505,3016,8,3,0,216,0.0037892269901931286,6.168302088722932e-13,0.00029640886350534856,0.03553950414061546
srr_v2_light_refine_lowmix,Case2002,CenterB,C0+LGE+T2,True,5,myops_scar,0.5,0.29759519038076154,0.30337078651685395,979,998,8,4,1,242,0.0024869057815521955,2.0198699246520846e-07,0.0002323945809621364,0.03553950414061546
srr_v2_light_refine_lowmix,Case2007,CenterB,C0+LGE+T2,True,4,myops_edema,0.5,0.3741450068399453,0.7169069462647444,763,1462,9,3,0,6,0.004814807325601578,5.113453497435083e-12,0.00045563140884041786,0.029074590653181076
srr_v2_light_refine_lowmix,Case2007,CenterB,C0+LGE+T2,True,5,myops_scar,0.5,0.39217191097467385,0.38277153558052435,1335,1303,5,2,0,1,0.008419288322329521,6.987517735979054e-06,0.0009297430515289307,0.029074590653181076
srr_v2_light_refine_lowmix,Case2008,CenterB,C0+LGE+T2,True,4,myops_edema,0.5,0.08770469053566472,0.7037861915367484,449,3603,11,3,0,0,0.0015495901461690664,5.969644808860586e-13,0.00018790997273754328,0.03640921413898468
srr_v2_light_refine_lowmix,Case2008,CenterB,C0+LGE+T2,True,5,myops_scar,0.5,0.26279527559055116,0.40825688073394495,654,1016,6,3,0,0,0.002265284303575754,6.049795331364294e-08,0.0002152286033378914,0.03640921413898468
srr_v2_light_refine_lowmix,Case2017,CenterB,C0+LGE+T2,True,4,myops_edema,0.5,0.43012211668928085,0.8156089193825042,1166,2211,4,0,0,86,0.003648072946816683,2.745534528891813e-11,0.00022427915246225893,0.03061773255467415
srr_v2_light_refine_lowmix,Case2017,CenterB,C0+LGE+T2,True,5,myops_scar,0.5,0.7617283950617284,0.4275814275814276,1443,810,1,0,0,22,0.004505551420152187,2.4085136374196736e-06,0.0002943814033642411,0.03061773255467415
srr_v2_light_refine_lowmix,Case2020,CenterB,C0+LGE+T2,True,4,myops_edema,0.5,0.313953488372093,0.4506258692628651,719,1032,7,4,5,64,0.004695539362728596,2.1101195443740117e-11,0.0003252783790230751,0.03442190960049629
srr_v2_light_refine_lowmix,Case2020,CenterB,C0+LGE+T2,True,5,myops_scar,0.5,0.19786096256684493,0.6686746987951807,166,561,3,1,0,12,0.0010635083308443427,2.043360619596868e-11,8.598054409958422e-05,0.03442190960049629
srr_v2_light_refine_lowmix,Case2031,CenterB,C0+LGE+T2,True,4,myops_edema,0.5,0.16286644951140064,0.06830601092896176,732,307,17,9,13,559,0.0038937765639275312,9.953249335836745e-10,0.00034382668673060834,0.13099992275238037
srr_v2_light_refine_lowmix,Case2031,CenterB,C0+LGE+T2,True,5,myops_scar,0.5,0.013888888888888888,0.04428044280442804,271,864,7,3,5,224,0.0015395876253023744,7.084475328156259e-06,0.00031227266299538314,0.13099992275238037
srr_v2_light_refine_lowmix,Case2033,CenterB,C0+LGE+T2,True,4,myops_edema,0.5,0.40237859266600595,0.3735050597976081,1087,1009,20,11,0,83,0.0027883443981409073,1.0943318733830365e-12,0.00023430674627888948,0.03182633966207504
srr_v2_light_refine_lowmix,Case2033,CenterB,C0+LGE+T2,True,5,myops_scar,0.5,0.649090909090909,0.5308550185873606,1345,1100,4,1,0,0,0.0034610219299793243,3.639086401108216e-07,0.00020228716311976314,0.03182633966207504
srr_v2_light_refine_lowmix,Case3004,CenterC,C0+LGE+T2,True,4,myops_edema,0.5,0.0,,0,3347,0,0,0,0,1.1668077054137645e-14,5.172458784934641e-15,0.0,0.01027518417686224
srr_v2_light_refine_lowmix,Case3004,CenterC,C0+LGE+T2,True,5,myops_scar,0.5,0.0,,0,2326,0,0,0,0,1.9187514077589896e-10,5.293560779469483e-15,1.503609736719369e-11,0.01027518417686224
srr_v2_light_refine_lowmix,Case3011,CenterC,C0+LGE+T2,True,4,myops_edema,0.5,0.0,0.0,4695,868,19,9,18,4685,0.00959830917418003,1.145973328675609e-06,0.000767241173889488,0.1821233034133911
srr_v2_light_refine_lowmix,Case3011,CenterC,C0+LGE+T2,True,5,myops_scar,0.5,0.5959692898272553,0.2971765831871112,6269,3126,55,22,49,2982,0.013173384591937065,0.0005010833265259862,0.001967895310372114,0.1821233034133911
srr_v2_light_refine_lowmix,Case3012,CenterC,C0+LGE+T2,True,4,myops_edema,0.5,0.025171065493646137,0.6688311688311688,154,4092,8,5,0,0,0.00013529654825106263,8.142893640188803e-14,2.106431929860264e-05,0.012659941799938679
srr_v2_light_refine_lowmix,Case3012,CenterC,C0+LGE+T2,True,5,myops_scar,0.5,0.00035486160397445,1.0,1,2818,1,0,0,0,2.1396688225649996e-06,2.5093943985471726e-14,1.9270651137048844e-06,0.012659941799938679
srr_v2_light_refine_lowmix,Case3023,CenterC,C0+LGE+T2,True,4,myops_edema,0.5,0.0824607329842932,0.04618768328445748,1364,764,21,8,17,906,0.001975830178707838,8.623549790920393e-12,0.000172943648067303,0.0530264712870121
srr_v2_light_refine_lowmix,Case3023,CenterC,C0+LGE+T2,True,5,myops_scar,0.5,0.008785529715762274,0.04521276595744681,376,1935,11,8,9,216,0.0005612617824226618,1.6481040532312363e-08,0.00011651378736132756,0.0530264712870121
srr_v2_light_refine_lowmix,Case3026,CenterC,C0+LGE+T2,True,4,myops_edema,0.5,0.0,,0,1828,0,0,0,0,5.561366034356752e-09,9.241584311237092e-15,7.320627437579219e-11,0.00797183532267809
srr_v2_light_refine_lowmix,Case3026,CenterC,C0+LGE+T2,True,5,myops_scar,0.5,0.00045945325063174823,0.02702702702702703,74,4353,2,0,1,67,6.654158642049879e-05,1.1854689423846081e-14,5.382210929383291e-06,0.00797183532267809
srr_v2_light_refine_lowmix,Case3034,CenterC,C0+LGE+T2,True,4,myops_edema,0.5,0.5765456329735035,0.36009806926141585,3263,2038,29,15,18,906,0.0038405191153287888,5.582426187977774e-10,0.00031255203066393733,0.04060262441635132
srr_v2_light_refine_lowmix,Case3034,CenterC,C0+LGE+T2,True,5,myops_scar,0.5,0.6963906581740976,0.44354293441514536,4437,2826,22,10,17,1120,0.005391239188611507,2.1097910575917922e-05,0.0006942105828784406,0.04060262441635132
srr_v2_light_refine_lowmix,Case3038,CenterC,C0+LGE+T2,True,4,myops_edema,0.5,0.04794952681388013,0.03333333333333333,2280,1585,18,6,15,2175,0.0029217011760920286,2.074653990269404e-11,0.00022658953093923628,0.05231981351971626
srr_v2_light_refine_lowmix,Case3038,CenterC,C0+LGE+T2,True,5,myops_scar,0.5,0.014914856136230182,0.03601815087918321,3526,8515,35,14,26,3222,0.004844026640057564,9.790393050934654e-06,0.0011431347811594605,0.05231981351971626
srr_v2_light_refine_lowmix,Case3040,CenterC,C0+LGE+T2,True,4,myops_edema,0.5,0.28703703703703703,0.05612552806276403,1657,324,18,11,16,717,0.0021928036585450172,3.303784329444781e-11,0.0002350575232412666,0.038239262998104095
srr_v2_light_refine_lowmix,Case3040,CenterC,C0+LGE+T2,True,5,myops_scar,0.5,0.2630637079455977,0.2661115133960898,2762,2794,28,11,21,1771,0.0038617211394011974,2.0762088297487935e-06,0.0006587643292732537,0.038239262998104095
srr_v2_light_refine_lowmix,Case3044,CenterC,C0+LGE+T2,True,4,myops_edema,0.5,0.08365019011406843,0.017871649065800164,1231,263,33,20,26,930,0.0016449084505438805,9.98080229575038e-11,0.00019822055764961988,0.04438748583197594
srr_v2_light_refine_lowmix,Case3044,CenterC,C0+LGE+T2,True,5,myops_scar,0.5,0.03286628610966961,0.22144522144522144,858,5781,19,7,15,665,0.001163400593213737,1.9914185145353258e-07,0.00026035914197564125,0.04438748583197594
srr_v2_light_refine_lowmix,Case5005,CenterE,C0+LGE,False,4,myops_edema,0.5,,,0,0,0,0,0,0,2.090113021893658e-13,4.6371394679840805e-14,0.0,0.026642128825187683
srr_v2_light_refine_lowmix,Case5005,CenterE,C0+LGE,False,5,myops_scar,0.5,0.09059982094897046,0.6893732970027248,734,5585,4,2,0,7,0.001844965503551066,1.5018862598026317e-08,0.00019689352484419942,0.026642128825187683
srr_v2_light_refine_lowmix,Case6001,CenterF,C0+LGE,False,4,myops_edema,0.5,,,0,0,0,0,0,0,1.7760488582206288e-14,4.497583590143883e-15,0.0,0.005873792804777622
srr_v2_light_refine_lowmix,Case6001,CenterF,C0+LGE,False,5,myops_scar,0.5,0.07484276729559748,0.2337917485265226,509,1590,10,5,0,14,0.0007976878550834954,7.965343939986269e-08,0.0001613759231986478,0.005873792804777622
srr_v2_light_refine_lowmix,Case6010,CenterF,C0+LGE,False,4,myops_edema,0.5,,,0,0,0,0,0,0,3.457576891463532e-09,2.419055963030249e-14,1.5604170733318767e-11,0.00596069497987628
