variant,case_id,center,modality_group,t2_present,class_id,metric_name,proposal_threshold,proposal_recall,proposal_precision,proposal_voxels,gt_voxels,proposal_component_count,proposal_small_fp_count,proposal_remote_fp_count,proposal_outside_union_fp_voxels,proposal_gate_mean,proposal_gate_p95,uncertainty_mean,local_anatomy_confidence_mean
srr_v2_capacity12_balanced_lowmix,Case1047,CenterA,LGE-only,False,5,myops_scar,0.5,0.37291169451073986,0.335345405767941,7455,6704,48,30,18,3176,0.0050483872182667255,0.0004859769542235881,0.0017255349084734917,0.06979144364595413
srr_v2_capacity12_balanced_lowmix,Case1053,CenterA,LGE-only,False,4,myops_edema,0.5,,0.0,279,0,34,31,34,33,0.00047966247075237334,4.90089135940508e-10,0.00015442445874214172,0.06673358380794525
srr_v2_capacity12_balanced_lowmix,Case1053,CenterA,LGE-only,False,5,myops_scar,0.5,0.23882017126546146,0.0665253114232706,3773,1051,24,15,8,1834,0.0067114923149347305,0.00029059985536150634,0.0021209479309618473,0.06673358380794525
srr_v2_capacity12_balanced_lowmix,Case1062,CenterA,LGE-only,False,4,myops_edema,0.5,,0.0,1421,0,228,213,228,780,0.0011139385169371963,5.058974466010113e-07,0.00041522979154251516,0.09812323749065399
srr_v2_capacity12_balanced_lowmix,Case1062,CenterA,LGE-only,False,5,myops_scar,0.5,0.5397799407532797,0.17052139037433156,14960,4726,42,31,13,8203,0.011709063313901424,0.0026433628518134356,0.004621243569999933,0.09812323749065399
srr_v2_capacity12_balanced_lowmix,Case1070,CenterA,LGE-only,False,4,myops_edema,0.5,,0.0,1285,0,136,121,136,540,0.000991538166999817,6.521892004229812e-08,0.0003166428068652749,0.12977027893066406
srr_v2_capacity12_balanced_lowmix,Case1070,CenterA,LGE-only,False,5,myops_scar,0.5,0.6677303550059832,0.23684210526315788,7068,2507,32,23,6,1953,0.005787651985883713,0.0010715966345742345,0.0020572589710354805,0.12977027893066406
srr_v2_capacity12_balanced_lowmix,Case1073,CenterA,LGE-only,False,4,myops_edema,0.5,,0.0,13,0,6,6,6,8,2.500485788914375e-05,2.231156148724267e-09,1.0082201697514392e-05,0.12284862995147705
srr_v2_capacity12_balanced_lowmix,Case1073,CenterA,LGE-only,False,5,myops_scar,0.5,0.3278763074124602,0.22370462302202918,3223,2199,24,12,15,1721,0.005323827266693115,0.0008895315113477409,0.0017686424544081092,0.12284862995147705
srr_v2_capacity12_balanced_lowmix,Case1080,CenterA,LGE-only,False,4,myops_edema,0.5,,,0,0,0,0,0,0,5.113096578079901e-12,3.881449849030272e-12,2.2232092469071096e-12,0.022065507248044014
